Submit datetime, Solver type, Nodes type, #CPUs, Queue type, Input, #Threads, Sort, Real time
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 20, , 48.199
04/30/2022 10:58, distributed, 20c, 4, pdp_long, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 20, , 56.124
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 20, , 507.535
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 20, , 565.409
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 20, , inf
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 20, , inf
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 20, , inf
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 20, , 581.794
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 20, , 458.323
04/30/2022 10:58, distributed, 20c, 2, pdp_long, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 20, , inf
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7__b.txt, 2, , 327.589
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_15-k_7-w100_200__b.txt, 2, , 580.279
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 2, , 492.768
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__a.txt, 2, , 573.468
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_18-k_6-w80_100__b.txt, 2, , 530.527
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_20-k_5__a.txt, 2, , 421.414
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_16-k_6__b.txt, 2, , 484.643
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_REG-n_18-k_6-w_10_20__b.txt, 2, , inf
04/30/2022 19:04, task-parallel, 20c, 1, pdp_serial, data/grafs_final/graf-t_AD-n_16-k_6-w80_100__a.txt, 4, , 309.277
